Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2015,FALSE,International Student,International Student,Christian Reformed,Junior,Male,4,yes
2015,FALSE,International Student,International Student,Christian Reformed,Senior,Female,12,yes
2015,FALSE,International Student,International Student,Christian Reformed,Senior,Male,4,yes
2015,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,3,yes
2015,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,4,yes
2015,FALSE,International Student,International Student,Other,First-year,Female,40,yes
2015,FALSE,International Student,International Student,Other,First-year,Male,28,yes
2015,FALSE,International Student,International Student,Other,Junior,Female,29,yes
2015,FALSE,International Student,International Student,Other,Junior,Male,31,yes
2015,FALSE,International Student,International Student,Other,Senior,Female,48,yes
2015,FALSE,International Student,International Student,Other,Senior,Male,40,yes
2015,FALSE,International Student,International Student,Other,Sophomore,Female,34,yes
2015,FALSE,International Student,International Student,Other,Sophomore,Male,47,yes
2015,TRUE,International Student,International Student,Christian Reformed,First-year,Female,1,yes
2015,TRUE,International Student,International Student,Christian Reformed,Senior,Female,3,yes
2015,TRUE,International Student,International Student,Christian Reformed,Sophomore,Female,2,yes
2015,TRUE,International Student,International Student,Christian Reformed,Sophomore,Male,1,yes
2015,TRUE,International Student,International Student,Other,First-year,Female,7,yes
2015,TRUE,International Student,International Student,Other,First-year,Male,5,yes
2015,TRUE,International Student,International Student,Other,Junior,Female,3,yes
2015,TRUE,International Student,International Student,Other,Junior,Male,4,yes
2015,TRUE,International Student,International Student,Other,Senior,Female,4,yes
2015,TRUE,International Student,International Student,Other,Senior,Male,1,yes
2015,TRUE,International Student,International Student,Other,Sophomore,Female,13,yes
2015,TRUE,International Student,International Student,Other,Sophomore,Male,4,yes
2016,FALSE,International Student,International Student,Christian Reformed,First-year,Female,2,yes
2016,FALSE,International Student,International Student,Christian Reformed,First-year,Male,1,yes
2016,FALSE,International Student,International Student,Christian Reformed,Junior,Female,1,yes
2016,FALSE,International Student,International Student,Christian Reformed,Junior,Male,5,yes
2016,FALSE,International Student,International Student,Christian Reformed,Senior,Female,12,yes
2016,FALSE,International Student,International Student,Christian Reformed,Senior,Male,5,yes
2016,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,3,yes
2016,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,3,yes
2016,FALSE,International Student,International Student,Other,First-year,Female,52,yes
2016,FALSE,International Student,International Student,Other,First-year,Male,60,yes
2016,FALSE,International Student,International Student,Other,Junior,Female,33,yes
2016,FALSE,International Student,International Student,Other,Junior,Male,40,yes
2016,FALSE,International Student,International Student,Other,Senior,Female,36,yes
2016,FALSE,International Student,International Student,Other,Senior,Male,32,yes
2016,FALSE,International Student,International Student,Other,Sophomore,Female,35,yes
2016,FALSE,International Student,International Student,Other,Sophomore,Male,24,yes
2016,TRUE,International Student,International Student,Christian Reformed,Junior,Female,2,yes
2016,TRUE,International Student,International Student,Christian Reformed,Junior,Male,1,yes
2016,TRUE,International Student,International Student,Christian Reformed,Senior,Female,1,yes
2016,TRUE,International Student,International Student,Christian Reformed,Sophomore,Female,1,yes
2016,TRUE,International Student,International Student,Other,First-year,Female,2,yes
2016,TRUE,International Student,International Student,Other,First-year,Male,2,yes
2016,TRUE,International Student,International Student,Other,Junior,Female,14,yes
2016,TRUE,International Student,International Student,Other,Junior,Male,7,yes
2016,TRUE,International Student,International Student,Other,Senior,Female,3,yes
2016,TRUE,International Student,International Student,Other,Senior,Male,4,yes
2016,TRUE,International Student,International Student,Other,Sophomore,Female,6,yes
2016,TRUE,International Student,International Student,Other,Sophomore,Male,3,yes
2017,FALSE,International Student,International Student,Christian Reformed,First-year,Female,4,yes
2017,FALSE,International Student,International Student,Christian Reformed,First-year,Male,3,yes
2017,FALSE,International Student,International Student,Christian Reformed,Junior,Female,2,yes
